Case Number,Data Filed,Status,Location,Region Assigned
 03-CA-315203," March 31, 2023", Open," Cheektowaga, NY"," Region 03, Buffalo, New York"
 19-CA-315198," March 30, 2023", Open," Eugene, OR"," Region 19, Seattle, Washington"
 14-RC-315026," March 29, 2023", Open," St. Louis, MO"," Region 14, Saint Louis, Missouri"
 19-CA-315027," March 28, 2023", Open," Eugene, OR"," Region 19, Seattle, Washington"
 19-CA-315030," March 28, 2023", Open," Seattle, WA"," Region 19, Seattle, Washington"
 16-CA-314987," March 27, 2023", Open," San Antonio, TX"," Region 16, Fort Worth, Texas"
 18-RC-314910," March 27, 2023", Open," Iowa City, IA"," Region 18, Minneapolis, Minnesota"
 19-RC-314779," March 24, 2023", Open," Walla Walla, WA"," Region 19, Seattle, Washington"
 32-CA-314998," March 24, 2023", Open," Seaside, CA"," Region 32, Oakland, California"
 09-RC-314592," March 22, 2023", Open," Elizabethtown, KY"," Region 09, Cincinnati, Ohio"
 27-RC-314597," March 22, 2023", Open," Westminster, CO"," Region 27, Denver, Colorado"
 08-RC-314610," March 22, 2023", Open," Ontario, OH"," Region 08, Cleveland, Ohio"
 09-RC-314556," March 22, 2023", Open," Louisville, KY"," Region 09, Cincinnati, Ohio"
 19-RC-314637," March 22, 2023", Open," Lincoln City, OR"," Region 19, Seattle, Washington"
 07-RC-314627," March 22, 2023", Open," Riverview, MI"," Region 07, Detroit, Michigan"
 22-CA-314515," March 21, 2023", Open," Montclair, NJ"," Region 22, Newark, New Jersey"
 32-RC-314472," March 20, 2023", Open," Oakland, CA"," Region 32, Oakland, California"
 19-CA-314477," March 20, 2023", Open," Springfield, OR"," Region 19, Seattle, Washington"
 22-CA-314449," March 20, 2023", Open," Montclair, NJ"," Region 22, Newark, New Jersey"
 19-CA-314096," March 15, 2023", Open," Portland, OR"," Region 19, Seattle, Washington"
 19-RC-314002," March 14, 2023", Open," Portland, OR"," Region 19, Seattle, Washington"
 16-CA-314147," March 14, 2023", Open," San Antonio, TX"," Region 16, Fort Worth, Texas"
 22-CA-314039," March 14, 2023", Open," Summit, NJ"," Region 22, Newark, New Jersey"
 28-CA-314359," March 14, 2023", Open," Las Vegas, NV"," Region 28, Phoenix, Arizona"
 32-RC-313978," March 14, 2023", Open," Sunnyvale, CA"," Region 32, Oakland, California"
 13-RC-313923," March 13, 2023", Open," Oak Park, IL"," Region 13, Chicago, Illinois"
 16-CB-314035," March 10, 2023", Open," San Antonio, TX"," Region 16, Fort Worth, Texas"
 16-CB-314083," March 10, 2023", Open," Austin, TX"," Region 16, Fort Worth, Texas"
 16-CB-313958," March 10, 2023", Open," San Antonio, TX"," Region 16, Fort Worth, Texas"
 16-CB-314077," March 10, 2023", Open," San Antonio, TX"," Region 16, Fort Worth, Texas"
 16-CB-314070," March 10, 2023", Open," Austin, TX"," Region 16, Fort Worth, Texas"
 10-RC-313666," March 8, 2023", Open," Cameron, NC"," Region 10, Atlanta, Georgia"
 14-CA-313615," March 8, 2023", Closed," Oklahoma City, OK"," Region 14, Saint Louis, Missouri"
 19-CA-313649," March 8, 2023", Open," Seattle, WA"," Region 19, Seattle, Washington"
 06-CA-313687," March 8, 2023", Open," Sutton, WV"," Region 06, Pittsburgh, Pennsylvania"
 19-CA-313509," March 6, 2023", Open," Everett, WA"," Region 19, Seattle, Washington"
 19-CA-313553," March 6, 2023", Open," Eugene, OR"," Region 19, Seattle, Washington"
 19-RC-313564," March 6, 2023", Open," Ashland, OR"," Region 19, Seattle, Washington"
 12-CA-313479," March 6, 2023", Open," Tallahassee, FL"," Region 12, Tampa, Florida"
 32-RC-313452," March 4, 2023", Open," Pleasanton, CA"," Region 32, Oakland, California"
 25-CA-313226," March 1, 2023", Open," Peoria, IL"," Region 25, Indianapolis, Indiana"
 08-RC-313145," February 28, 2023", Open," Maumee, OH"," Region 08, Cleveland, Ohio"
 06-CA-313072," February 28, 2023", Open," Pittsburgh, PA"," Region 06, Pittsburgh, Pennsylvania"
 22-CA-313141," February 28, 2023", Open," Summit, NJ"," Region 22, Newark, New Jersey"
 14-CB-313103," February 28, 2023", Open," Lawrence, KS"," Region 14, Saint Louis, Missouri"
 16-CA-313020," February 27, 2023", Open," Denton, TX"," Region 16, Fort Worth, Texas"
 06-CA-312997," February 27, 2023", Open," Pittsburgh, PA"," Region 06, Pittsburgh, Pennsylvania"
 06-CA-313073," February 27, 2023", Open," Pittsburgh, PA"," Region 06, Pittsburgh, Pennsylvania"
 06-CA-312965," February 27, 2023", Open," Pittsburgh, PA"," Region 06, Pittsburgh, Pennsylvania"
 01-RC-313008," February 27, 2023", Open," Newton, MA"," Region 01, Boston, Massachusetts"
 06-CA-313057," February 27, 2023", Open," Pittsburgh, PA"," Region 06, Pittsburgh, Pennsylvania"
 28-CA-313432," February 24, 2023", Open," Phoenix, AZ"," Region 28, Phoenix, Arizona"
 14-CB-312903," February 24, 2023", Open," Springfield, MO"," Region 14, Saint Louis, Missouri"
 14-CB-312901," February 24, 2023", Open," Independence, MO"," Region 14, Saint Louis, Missouri"
 28-CA-313426," February 24, 2023", Open," Phoenix, AZ"," Region 28, Phoenix, Arizona"
 28-CA-313460," February 24, 2023", Open," Phoenix, AZ"," Region 28, Phoenix, Arizona"
 27-CB-312898," February 24, 2023", Open," Denver, CO"," Region 27, Denver, Colorado"
 09-CB-312940," February 24, 2023", Open," Columbus, OH"," Region 09, Cincinnati, Ohio"
 28-CA-313458," February 24, 2023", Open," Phoenix, AZ"," Region 28, Phoenix, Arizona"
 01-RC-312846," February 24, 2023", Open," Somerville, MA"," Region 01, Boston, Massachusetts"
 29-CA-312802," February 23, 2023", Open," Lynbrook, NY"," Region 29, Brooklyn, New York"
 27-CB-312737," February 23, 2023", Open," Denver, CO"," Region 27, Denver, Colorado"
 27-CB-312729," February 23, 2023", Open," Colorado Springs, CO"," Region 27, Denver, Colorado"
 27-CB-312720," February 23, 2023", Open," Cottonwood Heights, UT"," Region 27, Denver, Colorado"
 06-RC-312789," February 23, 2023", Open," Sutton, WV"," Region 06, Pittsburgh, Pennsylvania"
 13-CB-312803," February 23, 2023", Open," Chicago, IL"," Region 13, Chicago, Illinois"
 27-CB-312749," February 23, 2023", Open," Denver, CO"," Region 27, Denver, Colorado"
 13-CB-312804," February 23, 2023", Open," Skokie, IL"," Region 13, Chicago, Illinois"
 06-CA-312721," February 22, 2023", Open," Greensburg, PA"," Region 06, Pittsburgh, Pennsylvania"
 28-CA-313214," February 22, 2023", Open," Phoenix, AZ"," Region 28, Phoenix, Arizona"
 01-RC-312535," February 21, 2023", Open," Branford, CT"," Region 01, Boston, Massachusetts"
 29-CB-312604," February 21, 2023", Open," Garden City, NY"," Region 29, Brooklyn, New York"
 19-CA-312644," February 21, 2023", Open," Bellingham, WA"," Region 19, Seattle, Washington"
 19-CA-312635," February 21, 2023", Closed," Bellingham, WA"," Region 19, Seattle, Washington"
 13-CA-312554," February 21, 2023", Open," Chicago, IL"," Region 13, Chicago, Illinois"
 13-CA-312650," February 21, 2023", Open," Chicago, IL"," Region 13, Chicago, Illinois"
 28-RC-313148," February 21, 2023", Open," Gilbert, AZ"," Region 28, Phoenix, Arizona"
 20-RC-312434," February 17, 2023", Open," Sacramento, CA"," Region 20, San Francisco, California"
 10-RC-312421," February 17, 2023", Open," Knoxville, TN"," Region 10, Atlanta, Georgia"
 14-CA-312412," February 17, 2023", Open," Richmond Heights, MO"," Region 14, Saint Louis, Missouri"
 07-CB-312592," February 17, 2023", Open," Lansing, MI"," Region 07, Detroit, Michigan"
 20-RC-312433," February 17, 2023", Open," Sacramento, CA"," Region 20, San Francisco, California"
 07-RC-312507," February 17, 2023", Open," Allen Park, MI"," Region 07, Detroit, Michigan"
 32-CB-312820," February 16, 2023", Open," Santa Cruz, CA"," Region 32, Oakland, California"
 21-CA-312405," February 16, 2023", Open," Los Angeles, CA"," Region 21, Los Angeles, California"
 03-CA-312247," February 16, 2023", Open," Latham, NY"," Region 03, Buffalo, New York"
 03-CB-312256," February 16, 2023", Open," Ballston Spa, NY"," Region 03, Buffalo, New York"
 03-CB-312152," February 15, 2023", Open," Depew, NY"," Region 03, Buffalo, New York"
 19-CA-312305," February 15, 2023", Open," Seattle, WA"," Region 19, Seattle, Washington"
 28-CA-312813," February 14, 2023", Open," Avondale, AZ"," Region 28, Phoenix, Arizona"
 13-CB-312174," February 14, 2023", Open," Elmhurst, IL"," Region 13, Chicago, Illinois"
 13-RC-312119," February 14, 2023", Open," Chicago, IL"," Region 13, Chicago, Illinois"
 13-CB-312127," February 13, 2023", Open," Chicago, IL"," Region 13, Chicago, Illinois"
 02-CA-312093," February 13, 2023", Open," Manhattan, NY"," Region 02, New York, New York"
 13-CB-312128," February 13, 2023", Open," Chicago, IL"," Region 13, Chicago, Illinois"
 14-CA-311977," February 10, 2023", Open," Oklahoma City, OK"," Region 14, Saint Louis, Missouri"
 16-CA-312136," February 10, 2023", Open," Kingwood, TX"," Region 16, Fort Worth, Texas"
 03-CA-311716," February 8, 2023", Closed," Buffalo, NY"," Region 03, Buffalo, New York"
 07-CA-311838," February 8, 2023", Open," Ann Arbor, MI"," Region 07, Detroit, Michigan"
 05-RC-311740," February 8, 2023", Closed," Salisbury, MD"," Region 05, Baltimore, Maryland"
 05-CA-312104," February 7, 2023", Open," Falls Church, VA"," Region 05, Baltimore, Maryland"
 05-CA-312249," February 7, 2023", Open," Newport News, VA"," Region 05, Baltimore, Maryland"
 10-CA-311503," February 3, 2023", Open," Augusta, GA"," Region 10, Atlanta, Georgia"
 28-CA-311565," February 1, 2023", Closed," Litchfield Park, AZ"," Region 28, Phoenix, Arizona"
 04-RC-311411," February 1, 2023", Closed," Philadelphia, PA"," Region 04, Philadelphia, Pennsylvania"
 14-CB-311271," January 31, 2023", Open," St. Louis, MO"," Region 14, Saint Louis, Missouri"
 09-CB-311480," January 31, 2023", Open," Westerville, OH"," Region 09, Cincinnati, Ohio"
 07-CB-311729," January 31, 2023", Open," Ann Arbor, MI"," Region 07, Detroit, Michigan"
 19-RC-311308," January 31, 2023", Closed," Hillsboro, OR"," Region 19, Seattle, Washington"
 08-CB-311407," January 31, 2023", Open," Cleveland, OH"," Region 08, Cleveland, Ohio"
 03-CA-311237," January 31, 2023", Open," Ithaca, NY"," Region 03, Buffalo, New York"
 19-CB-311279," January 31, 2023", Open," Seattle, WA"," Region 19, Seattle, Washington"
 14-CB-311270," January 31, 2023", Open," Richmond Heights, MO"," Region 14, Saint Louis, Missouri"
 21-CB-311330," January 31, 2023", Open," La Quinta, CA"," Region 21, Los Angeles, California"
 07-CA-311198," January 30, 2023", Open," Ann Arbor, MI"," Region 07, Detroit, Michigan"
 19-CA-311040," January 27, 2023", Open," Shoreline, WA"," Region 19, Seattle, Washington"
 09-RC-311046," January 27, 2023", Open," Columbus, OH"," Region 09, Cincinnati, Ohio"
 19-CA-310968," January 26, 2023", Open," Seattle, WA"," Region 19, Seattle, Washington"
 32-CA-311162," January 25, 2023", Open," Santa Cruz, CA"," Region 32, Oakland, California"
 06-CA-310924," January 25, 2023", Open," Greensburg, PA"," Region 06, Pittsburgh, Pennsylvania"
 28-RC-311077," January 25, 2023", Closed," Litchfield Park, AZ"," Region 28, Phoenix, Arizona"
 28-RC-311111," January 25, 2023", Closed," Las Vegas, NV"," Region 28, Phoenix, Arizona"
 07-CA-310851," January 24, 2023", Open," Ann Arbor, MI"," Region 07, Detroit, Michigan"
 16-CA-310873," January 23, 2023", Open," San Antonio, TX"," Region 16, Fort Worth, Texas"
 16-CA-310865," January 23, 2023", Open," Denton, TX"," Region 16, Fort Worth, Texas"
 03-CA-310676," January 23, 2023", Open," Liverpool, NY"," Region 03, Buffalo, New York"
 16-CA-310855," January 20, 2023", Open," Houston, TX"," Region 16, Fort Worth, Texas"
 29-RC-310538," January 19, 2023", Closed," Lynbrook, NY"," Region 29, Brooklyn, New York"
 14-CA-310595," January 19, 2023", Open," Overland Park, KS"," Region 14, Saint Louis, Missouri"
 19-CA-310569," January 18, 2023", Open," Seattle, WA"," Region 19, Seattle, Washington"
 25-RC-310353," January 17, 2023", Closed," Valparaiso, IN"," Region 25, Indianapolis, Indiana"
 03-CA-310302," January 17, 2023", Open," Ithaca, NY"," Region 03, Buffalo, New York"
 03-CA-310305," January 17, 2023", Open," Penfield, NY"," Region 03, Buffalo, New York"
 15-CA-310490," January 17, 2023", Closed," Fayetteville, AR"," Region 15, New Orleans, Louisiana"
 19-RC-310429," January 17, 2023", Closed," Portland, OR"," Region 19, Seattle, Washington"
 04-CA-310374," January 17, 2023", Open," Philadelphia, PA"," Region 04, Philadelphia, Pennsylvania"
 19-CA-310285," January 13, 2023", Open," Happy Valley, OR"," Region 19, Seattle, Washington"
 19-CA-310274," January 13, 2023", Open," Seattle, WA"," Region 19, Seattle, Washington"
 19-CA-310293," January 13, 2023", Open," Seattle, WA"," Region 19, Seattle, Washington"
 31-CA-310219," January 12, 2023", Open," Los Angeles, CA"," Region 31, Los Angeles, California"
 01-CA-310106," January 10, 2023", Open," Vernon, CT"," Region 01, Boston, Massachusetts"
 03-CA-309936," January 9, 2023", Open," Buffalo, NY"," Region 03, Buffalo, New York"
 03-CA-310035," January 9, 2023", Open," Buffalo, NY"," Region 03, Buffalo, New York"
 19-CA-309977," January 6, 2023", Open," Seattle, WA"," Region 19, Seattle, Washington"
 19-CA-309905," January 5, 2023", Open," Portland, OR"," Region 19, Seattle, Washington"
 03-CA-309799," January 5, 2023", Open," Ithaca, NY"," Region 03, Buffalo, New York"
 29-CA-309779," January 4, 2023", Open," Great Neck, NY"," Region 29, Brooklyn, New York"
 12-CA-309776," January 4, 2023", Open," Hialeah, FL"," Region 12, Tampa, Florida"
 16-CA-310043," January 3, 2023", Open," Shavano Park, TX"," Region 16, Fort Worth, Texas"
 10-CA-309704," January 3, 2023", Open," Decatur, GA"," Region 10, Atlanta, Georgia"
 10-CA-309737," January 3, 2023", Open," Augusta, GA"," Region 10, Atlanta, Georgia"
 21-CA-309758," January 3, 2023", Closed," Riverside, CA"," Region 21, Los Angeles, California"
 15-CA-309760," January 3, 2023", Open," Montgomery, AL"," Region 15, New Orleans, Louisiana"
 10-CA-309684," January 3, 2023", Open," Knoxville, TN"," Region 10, Atlanta, Georgia"
 12-CA-309754," January 3, 2023", Closed," Boynton Beach, FL"," Region 12, Tampa, Florida"
 16-CA-310005," January 3, 2023", Open," Houston, TX"," Region 16, Fort Worth, Texas"
 03-CA-309670," December 30, 2022", Open," Ithaca, NY"," Region 03, Buffalo, New York"
 03-CA-309680," December 30, 2022", Closed," Hamburg, NY"," Region 03, Buffalo, New York"
 19-CA-309615," December 29, 2022", Open," Bellingham, WA"," Region 19, Seattle, Washington"
 03-CA-309434," December 23, 2022", Open," Ithaca, NY"," Region 03, Buffalo, New York"
 05-CA-309491," December 22, 2022", Open," Bel Air, MD"," Region 05, Baltimore, Maryland"
 16-CA-309479," December 22, 2022", Closed," San Antonio, TX"," Region 16, Fort Worth, Texas"
 20-CA-309341," December 21, 2022", Open," Mill Valley, CA"," Region 20, San Francisco, California"
