Date Filed,City,State,Address,Status,Case Name,Labor Union,Tally Date,Ballot Type,Votes For Union,Votes Against,Num Eligible Voters,Case
"Mar 29, 2023",St. Louis,MO,,Open,Starbucks Corporation,"Chicago and Midwest Regional Joint Board, Workers United / SEIU",,Initial,,,22,14-RC-315026
"Mar 27, 2023",Iowa City,IA,,Open,Starbucks Corporation,"Chicago and Midwest Regional Joint Board, Workers United/SEIU",,Initial,,,31,18-RC-314910
"Mar 24, 2023",Walla Walla,WA,,Open,Starbucks Corporation,Workers United a/w SEIU,,Initial,,,24,19-RC-314779
"Mar 22, 2023",Riverview,MI,,Open,Starbucks Corporation,"Chicago and Midwest Regional Joint Board, Workers United / SEIU",,Initial,,,18,07-RC-314627
"Mar 22, 2023",Lincoln City,OR,,Open,Starbucks Corporation,Workers United,,Initial,,,18,19-RC-314637
"Mar 22, 2023",Westminster,CO,,Open,Starbucks Corporation,"Workers United Chicago & Midwest Regional Joint Board, Workers United/SEIIU",,Initial,,,21,27-RC-314597
"Mar 22, 2023",Elizabethtown,KY,,Open,STARBUCKS CORPORATION,"Chicago & Midwest Regional Joint Board, an Affiliate of Workers United SEIU",,Initial,,,28,09-RC-314592
"Mar 22, 2023",Louisville,KY,,Open,STARBUCKS CORPORATION,"Chicago & Midwest Regional Joint Board, an Affiliate of Workers United SEIU",,Initial,,,30,09-RC-314556
"Mar 22, 2023",Ontario,OH,,Open,Starbucks Corporation,"Chicago and Midwest Regional Joint Board, Workers United/SEIU",,Initial,,,36,08-RC-314610
"Mar 20, 2023",Oakland,CA,,Open,Starbucks Corporation,"Philadelphia Joint Board, Workers Union, affiliated with SEIU",,Initial,,,15,32-RC-314472
"Mar 14, 2023",Portland,OR,,Open,Starbucks Corporation,Barnard Iglitzin & Lavitt LLP,,Initial,,,20,19-RC-314002
"Mar 14, 2023",Sunnyvale,CA,,Open,Starbucks Corporation,Workers United,,Initial,,,24,32-RC-313978
"Mar 13, 2023",Oak Park,IL,,Open,Starbucks Corporation,"Chicago and Midwest Regional Joint Board, Workers United/SEIU",,Initial,,,13,13-RC-313923
"Mar 08, 2023",Cameron,NC,,Open,Starbucks Corporation,"Workers United, Southern Regional Joint Board",,Initial,,,31,10-RC-313666
"Mar 06, 2023",Ashland,OR,,Open,Starbucks Corporation,Workers United,,Initial,,,24,19-RC-313564
"Mar 04, 2023",Pleasanton,CA,,Open,Starbucks Corporation,Workers United a/w SEIU,,Initial,,,14,32-RC-313452
"Feb 28, 2023",Maumee,OH,,Open,Starbucks Corporation,"Chicago and Midwest Regional Joint Board, Workers United/SEIU",,Initial,,,30,08-RC-313145
"Feb 27, 2023",Newton,MA,,Open,Starbucks Corporation,"Workers United, a/w SEIU",,Initial,,,15,01-RC-313008
"Feb 24, 2023",Somerville,MA,,Open,Starbucks Corporation,Workers United,,Initial,,,13,01-RC-312846
"Feb 23, 2023",Sutton,WV,,Open,Starbucks Corporation,Workers United,,Initial,,,17,06-RC-312789
"Feb 21, 2023",Gilbert,AZ,,Open,Starbucks Corporation,Workers United a/w Service Employees International Union,,Initial,,,20,28-RC-313148
"Feb 21, 2023",Branford,CT,,Open,Starbucks Corporation,Workers United a/w SEIU,,Initial,,,22,01-RC-312535
"Feb 17, 2023",Knoxville,TN,"1938 Pinnacle Point Way, Knoxville TN",Open,Starbucks Corporation,"Workers United, Southern Regional Joint Board","Mar 28, 2023",Initial,14.0,6.0,22,10-RC-312421
"Feb 17, 2023",Sacramento,CA,,Open,Starbucks Corporation,Workers United,,Initial,,,14,20-RC-312433
"Feb 17, 2023",Sacramento,CA,,Open,Starbucks Corporation,Workers United,,Initial,,,16,20-RC-312434
"Feb 17, 2023",Allen Park,MI,,Open,Starbucks Corporation,"Chicago and Midwest Regional Joint Board, Workers United/SEIU",,Initial,,,20,07-RC-312507
